Image Name,Description,Categories,label
air-hole(color)2-08.jpg,1. Displayed in this image of a steel pipe weld inspection are flaws such as air holes. These minuscule openings on the steel tube's surface or within it are usually a result of gas being trapped during manufacturing. Such imperfections have the potential to compromise the strength of the material.,"steel pipe, air hole",399
air-hole(color)2-09.jpg,"2. The image illustrating the inspection of a welded steel pipe reveals the presence of defects, notably air holes. These tiny perforations, found either on the surface or inside the steel tube, are typically caused by gas being trapped in the production process, leading to a decrease in the material's strength.","steel pipe, air hole",399
air-hole(color)2-10.jpg,"3. Defects, like air holes, are captured in this inspection image of a welded steel pipe. These small openings on or within the steel tube are commonly formed when gas becomes trapped during production. They have the adverse effect of diminishing the material's strength.","steel pipe, air hole",399
air-hole(color)2-11.jpg,"4. Air-hole imperfections, visible in this steel pipe weld inspection image, can be detrimental to the material's strength. These small openings, whether on the surface or inside the steel tube, are commonly a consequence of gas getting trapped during the manufacturing process.","steel pipe, air hole",399
air-hole(color)2-12.jpg,"5. Within this image of a steel pipe weld inspection, one can observe defects, including air holes. These minute openings, present on the surface or within the steel tube, are typically formed when gas becomes trapped during production, ultimately diminishing the material's strength.","steel pipe, air hole",399
air-hole(color)2-13.jpg,"1. The inspection image of this steel pipe weld reveals the presence of defects such as air-holes, which are small perforations found either externally or internally in the steel tubing. Usually, these imperfections arise from gas entrapment in the manufacturing process, potentially compromising the material's strength.","steel pipe, air hole",399
air-hole(color)2-14.jpg,"2. In this image depicting the inspection of a steel pipe weld, air-holes are observed as defects. Air-holes, characterized by small openings on the surface or within the steel tube, are typically a result of gas entrapment during production. These imperfections have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)2-15.jpg,"3. Shown in the inspection image of this steel pipe weld are defects, including air-holes. These air-holes, which manifest as small apertures on the surface or inside the steel tube, are usually formed due to trapped gas in the production process. Such defects may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)2-16.jpg,"4. The inspection image of this steel pipe weld displays defects, notably air-holes. Air-holes, identified as small apertures on the surface or internally within the steel tubing, are commonly a result of trapped gas during production. These imperfections have the capacity to weaken the material.","steel pipe, air hole",399
air-hole(color)2-17.jpg,"5. Within the inspection image of this steel pipe weld, there are visible defects, notably air-holes. Air-holes, defined as small perforations on the surface or inside the steel tube, are typically formed due to gas entrapment in","steel pipe, air hole",399
air-hole(color)2-18.jpg,"1. The image of this steel pipe weld inspection reveals the presence of defects such as air-holes. Air-holes are characterized as tiny openings found either on the exterior or within the steel cylinder, usually originating from trapped gas during manufacturing. Such imperfections have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)2-19.jpg,"2. In this visual depiction of the inspection of a welded steel pipe, various flaws are visible, including the presence of air-holes. Air-holes are defined as minute perforations located either on the surface or internally in the steel conduit, commonly produced as a result of gas entrapment during the manufacturing process. These imperfections have the capability to weaken the material's structural integrity.","steel pipe, air hole",399
air-hole(color)2-20.jpg,"3. The inspection image of the welded steel pipe showcases defects, notably air-holes. Air-holes are small apertures that can be observed on the surface or within the steel tube, typically caused by the entrapment of gas during production. These flaws have the potential to compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-21.jpg,"4. Within the steel pipe weld inspection image are visible defects, one of which includes the presence of air-holes. Air-holes are defined as small perforations that can be found on the surface or inside the steel tube, often formed due to gas being trapped during the manufacturing process. These imperfections may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)2-22.jpg,"5. The inspection image of the steel pipe weld reveals the existence of defects, with air-holes being among them.","steel pipe, air hole",399
air-hole(color)2-23.jpg,"1. Visible in this image of a steel pipe weld inspection are defects such as air-holes, which are small openings found on the surface or within the steel tube. These air-holes are usually a result of gas being trapped during the manufacturing process and can diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)2-24.jpg,"2. The inspection image of the steel pipe weld clearly displays defects like air-holes, which are tiny perforations that appear either on the exterior or inside the steel tube. These imperfections are typically caused by gas entrapment during the production process and have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)2-25.jpg,"3. Within the steel pipe weld inspection image, one can observe defects, including the presence of air-holes. These air-holes, small apertures located on the surface or within the steel tube, are commonly formed due to gas getting trapped during manufacturing. Such flaws have the ability to compromise the material's strength.","steel pipe, air hole",399
air-hole(color)2-26.jpg,"4. In the image depicting the inspection of the steel pipe weld, various defects are evident, one of which is the presence of air-holes. Air-holes are defined as small openings that can be found on the surface or inside the steel tube and are typically a result of gas being trapped during the production process. These defects have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)2-27.jpg,"5. This image from the steel pipe weld inspection reveals imperfections like air-holes, which are characterized by small holes either on the surface or within the steel tube. These air-holes are commonly","steel pipe, air hole",399
air-hole(color)2-28.jpg,"1. In this image capturing the inspection of welded steel pipes, defects such as air-holes are visible. Air-holes are defined as tiny openings present on the surface or within the steel tubing, often resulting from trapped gas during manufacturing. These imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)2-29.jpg,"2. The image depicting the examination of welded steel pipes reveals the presence of defects, including air-holes. Air-holes are small apertures found either on the surface or within the steel tube, commonly originating from gas entrapment during the manufacturing process. These flaws may compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-30.jpg,"3. Visible in this steel pipe weld inspection image are defects, one of which is air-holes. Air-holes are described as minor openings located on the surface or inside the steel tube, typically emerging due to gas entrapment during production. These imperfections have the capacity to diminish the material's strength.","steel pipe, air hole",399
air-hole(color)2-31.jpg,"4. In the inspection image of this steel pipe weld, various defects are apparent, with air-holes being one of them. Air-holes are characterized as small perforations present on the surface or within the steel tubing, often a result of trapped gas during manufacturing. These faults can decrease the material's strength.","steel pipe, air hole",399
air-hole(color)2-32.jpg,"5. This image from the steel pipe weld inspection illustrates the presence of defects, including air-holes. Air-holes are small openings that can be found on the surface or inside the steel tube, typically forming due to gas entrapment during the production process","steel pipe, air hole",399
air-hole(color)2-33.jpg,"1. A visual inspection of the weld on this steel pipe reveals the presence of flaws, such as air holes. Air holes, which are tiny perforations found either on the exterior or within the steel tube, are usually a result of gas being trapped during manufacturing. These imperfections have the potential to compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-34.jpg,"2. The inspection image of the welded steel pipe showcases imperfections, notably air holes. Air holes, identified as minuscule openings appearing either on the surface or inside the steel tube, are commonly caused by gas entrapment in the production process. These flaws have the capability to diminish the material's strength.","steel pipe, air hole",399
air-hole(color)2-35.jpg,"3. In this image capturing the inspection of the steel pipe weld, defects like air holes are discernible. Air holes, defined as small openings present on the surface or interior of the steel tube, are typically created by gas getting trapped during production. These deficiencies have the adverse effect of weakening the material.","steel pipe, air hole",399
air-hole(color)2-36.jpg,"4. Defects, including air holes, are visible in the inspection image of this welded steel pipe. Air holes, which are small perforations observed either on the surface or within the steel tube, are typically formed due to gas being trapped during the manufacturing process. These imperfections can lead to a reduction in the strength of the material.","steel pipe, air hole",399
air-hole(color)2-37.jpg,"5. The inspection image depicting the weld on this steel pipe exhibits flaws, notably air holes. Air holes, small apertures found either on the surface or inside the steel tube, are commonly a","steel pipe, air hole",399
air-hole(color)2-38.jpg,"1. In this image capturing the inspection of a welded steel pipe, visible defects such as air-holes can be observed. Air-holes are characterized by small openings either on the outer surface or within the steel conduit, commonly originating from gas entrapment during manufacturing. Such imperfections have the potential to compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-39.jpg,"2. This image depicting the examination of a welded steel pipe reveals the presence of defects, including air-holes. Air-holes, which manifest as tiny perforations on the surface or interior of the steel tube, are typically a result of gas being trapped during the production process. These flaws have the capacity to diminish the overall strength of the material.","steel pipe, air hole",399
air-hole(color)2-40.jpg,"3. Within this inspection image of a welded steel pipe, various defects are visible, with air-holes being one of them. Air-holes, which are characterized by small openings either on the surface or inside the steel tube, are commonly formed due to trapped gas during the manufacturing process. These imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)2-41.jpg,"4. The inspection image of this welded steel pipe showcases defects, among which air-holes are included. Air-holes are small openings that can be found on the surface or inside the steel tube, often formed as a result of gas getting trapped during production. These imperfections may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)2-42.jpg,5. Shown in this image of a steel pipe weld inspection are defects that include air-holes. Air-holes refer to small,"steel pipe, air hole",399
air-hole(color)2-43.jpg,"1. Within this image depicting the inspection of a welded steel pipe, one can observe the presence of air-holes. These imperfections, whether found on the exterior or within the tubing, are commonly a result of gas entrapment during manufacturing. They have the potential to diminish the overall strength of the material.","steel pipe, air hole",399
air-hole(color)2-44.jpg,"2. Defects such as air-holes are evident in this image capturing the inspection of a welded steel pipe. These tiny perforations, which may occur either on the surface or inside the tube, are typically caused by gas being trapped in the material during the production process. Such flaws have the capacity to compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-45.jpg,"3. This visual inspection image of a welded steel pipe highlights the existence of defects like air-holes. These miniature apertures, whether situated on the surface or within the tube, are usually the consequence of gas becoming trapped within the material during its production. Consequently, these imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)2-46.jpg,"4. In the image showcasing the inspection of a welded steel pipe, one can identify defects, including air-holes. These small openings, whether visible on the exterior or concealed inside the tube, are commonly a byproduct of gas getting trapped during the manufacturing process. As a result, these defects can compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-47.jpg,"5. The inspection image of this welded steel pipe reveals the presence of defects like air-holes. These imperfections, whether located on the surface or within the tube, are typically","steel pipe, air hole",399
air-hole(color)2-48.jpg,"1. The image of an inspection on the weld of a steel pipe reveals the presence of defects, such as air-holes. These air-holes are tiny openings either on the exterior or within the steel tube, usually originating from gas entrapment in the manufacturing phase. Such imperfections have the potential to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-13.jpg,"2. Within the inspection image of the steel pipe weld, there are visible flaws, one of which is the presence of air-holes. Air-holes are defined as minuscule openings found either on the surface or inside the steel tube, typically arising from the entrapment of gas during the manufacturing process. These imperfections have the capacity to diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)1-14.jpg,"3. In the inspection image of the steel pipe weld, defects are apparent, including the existence of air-holes. Air-holes are characterized as small apertures located either on the surface or within the steel tube, commonly formed as a result of gas capture during production. These flaws have the ability to weaken the material's durability.","steel pipe, air hole",399
air-hole(crop)1-15.jpg,"4. The inspection image of the steel pipe weld reveals the presence of imperfections, such as air-holes. Air-holes are described as tiny openings located either on the surface or inside the steel tube, typically generated by gas entrapment during the manufacturing process. These defects can lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(crop)1-16.jpg,"5. Within the inspection image of the steel pipe weld, there are defects observed, among which are","steel pipe, air hole",399
air-hole(crop)1-17.jpg,"1. The image depicting the inspection of the weld on this steel pipe reveals the presence of defects, such as air-holes. Air-holes are defined as tiny openings found either on the exterior or within the steel tube. They are commonly a result of gas becoming trapped during the manufacturing process, ultimately leading to a decrease in the material's strength.","steel pipe, air hole",399
air-hole(crop)1-18.jpg,"2. Within this image showcasing the inspection of a welded steel pipe, various defects are visible, including air-holes. Air-holes, which are small perforations located either on the surface or inside the steel tube, are typically caused by the entrapment of gas during production. These imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(crop)1-19.jpg,"3. Defects, such as air-holes, are evident in this image illustrating the inspection of a weld on a steel pipe. Air-holes, small openings present either on the surface or within the steel tube, are usually a consequence of gas getting trapped during the manufacturing process. As a result, these flaws can compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-20.jpg,"4. This steel pipe weld inspection image reveals the existence of defects, notably air-holes. Air-holes, which are defined as minor openings found on the surface or inside the steel tube, are typically a byproduct of gas being trapped during the production process. Consequently, these imperfections can diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)1-21.jpg,"5. The inspection image of this steel pipe weld displays defects, including the presence of air-holes. Air-holes,","steel pipe, air hole",399
air-hole(crop)1-22.jpg,"1. The image of inspecting the weld on the steel pipe reveals the presence of defects, such as air-holes. Air-holes are tiny openings found on either the exterior or interior of the steel tube, usually originating from gas entrapment in the manufacturing phase. Such imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(crop)1-23.jpg,"2. Within the examination image of the steel pipe weld, various flaws are identified, including air-holes. Air-holes are defined as minuscule cavities located on the surface or within the steel tube, often originating from gas entrapment during the manufacturing process. These imperfections can compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-24.jpg,"3. In this image depicting the inspection of a weld on a steel pipe, defects such as air-holes are clearly visible. Air-holes, which are small openings present either on the surface or inside the steel tube, are typically a result of gas being trapped during the production process. These flaws have the potential to diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)1-25.jpg,"4. The inspection image of the weld on the steel pipe displays defects, notably air-holes. Air-holes are characterized as minor perforations seen on the surface or within the steel tube, often formed due to gas entrapment in the production process. These imperfections have the ability to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-26.jpg,"5. This particular image capturing the inspection of the steel pipe weld reveals the presence of defects, with air-holes being one of them. Air-holes are","steel pipe, air hole",399
air-hole(crop)1-27.jpg,"1. Shown in the inspection image of the welded steel pipe are defects such as air-holes. Air-holes, which are tiny openings found on or within the steel tube, are usually created by gas entrapment in the manufacturing process. These imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(crop)1-28.jpg,"2. The image depicting the examination of the steel pipe weld reveals the presence of air-holes, which are small voids either on the surface or inside the steel tube. Typically originating from the entrapment of gas during production, these flaws have the ability to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-29.jpg,"3. Visible in the inspection image of the steel pipe weld are defects like air-holes. Air-holes, defined as minute perforations on the surface or interior of the steel tube, are commonly a result of gas getting trapped in the production process. These irregularities can diminish the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-30.jpg,"4. Depicted in the inspection image of the steel pipe weld are flaws, including air-holes. Air-holes, characterized as small apertures present either on the surface or within the steel tube, are typically formed by gas entrapment during production. These imperfections have the potential to lessen the material's strength.","steel pipe, air hole",399
air-hole(crop)1-31.jpg,"5. The image illustrating the inspection of the welded steel pipe reveals the existence of defects such as air-holes. Air-holes are defined as tiny perforations located on the surface or inside the steel tube, usually originating from trapped gas during","steel pipe, air hole",399
air-hole(crop)1-32.jpg,"1. Revealed in the image of this steel pipe weld inspection are defects, such as air-holes. These air-holes, which are tiny openings found either on the exterior or within the steel tube, are usually a result of gas being trapped during manufacturing. They have the potential to weaken the material.","steel pipe, air hole",399
air-hole(crop)1-33.jpg,"2. Captured in the inspection image of the steel pipe weld are flaws, with air-holes being one of them. Air-holes are defined as minute cavities present on the surface or inside the steel tube, often originating from gas entrapment during production. These imperfections have the ability to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-34.jpg,"3. The inspection image of the steel pipe weld exhibits imperfections that include air-holes. Air-holes, which are small openings found on the surface or within the steel tube, are commonly formed due to gas becoming trapped during the manufacturing process. These flaws have the capacity to diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)1-35.jpg,"4. Visible in the image from the steel pipe weld inspection are defects, such as air-holes. Air-holes are described as minuscule apertures located either on the exterior or inside the steel tube, typically created by gas getting trapped during production. These imperfections can result in a reduction of the material's strength.","steel pipe, air hole",399
air-hole(crop)1-36.jpg,"5. Depicted in the inspection image of the steel pipe weld are flaws, which include air-holes. Air-holes are small voids present on the surface or within the steel tube, often","steel pipe, air hole",399
air-hole(crop)1-37.jpg,"1. The image of the inspection of the welded steel pipe reveals flaws such as air-holes, which are small openings found on the surface or within the tube, often resulting from gas being trapped in the production phase. These imperfections have the potential to weaken the material's structural integrity.","steel pipe, air hole",399
air-hole(crop)1-38.jpg,"2. Within this image capturing the inspection of the steel pipe weld, one can observe defects like air-holes. Air-holes are tiny perforations present either on the exterior or inside the steel tube, usually originating from gas entrapment during manufacturing. Such imperfections may compromise the material's durability.","steel pipe, air hole",399
air-hole(crop)1-39.jpg,"3. Examining the weld of this steel pipe, the inspection image displays flaws, notably air-holes. Air-holes are minuscule apertures visible on the surface or interior of the steel tube, typically arising from gas entrapment in the production process. These defects have the capacity to diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)1-40.jpg,"4. Shown in the inspection image of the steel pipe weld are imperfections, such as air-holes. Air-holes are small cavities that can be found either on the surface or inside the steel tube, often formed due to gas being trapped during production. These flaws have the potential to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-41.jpg,"5. This image, depicting the inspection of the steel pipe weld, reveals defects including air-holes. Air-holes are defined as small perforations located on the surface or within the steel tube, typically originating from gas entrapment","steel pipe, air hole",399
air-hole(crop)1-42.jpg,"1. The image of inspecting the weld on this steel pipe reveals the presence of defects like air-holes, which are small openings that may appear either on the surface or inside the metal tube. These imperfections are usually a result of gas getting trapped while the pipe was being manufactured and have the potential to weaken the material's integrity.","steel pipe, air hole",399
air-hole(crop)1-43.jpg,"2. Within this inspection image of a welded steel pipe, there are visible defects such as air-holes. Air-holes, which are tiny perforations found on the surface or within the tube, are commonly created when gas becomes trapped during the manufacturing process. Such flaws have the ability to compromise the strength of the material.","steel pipe, air hole",399
air-hole(crop)1-44.jpg,"3. Examining the welds on this steel pipe reveals the presence of defects, including air-holes. These air-holes, small openings that can be found on the surface or inside the pipe, are typically formed as a result of gas becoming trapped during production. It is important to note that these imperfections have the potential to diminish the material's strength.","steel pipe, air hole",399
air-hole(crop)2-00.jpg,"4. The inspection image of this steel pipe weld exposes flaws, one of which is the presence of air-holes. Air-holes, small openings observed on either the surface or inside the steel tube, are typically a consequence of gas getting trapped during the manufacturing process. These defects have the capacity to compromise the material's strength.","steel pipe, air hole",399
air-hole(crop)2-01.jpg,"5. This image showcasing the inspection of welds on a steel pipe highlights the presence of defects, notably air-holes. Air-holes","steel pipe, air hole",399
air-hole(crop)2-02.jpg,"1. The image of inspecting the weld on this steel pipe reveals imperfections such as air-holes. Air-holes are tiny openings found either on the exterior or within the steel tube, usually originating from gas entrapment in the manufacturing process. These imperfections have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(crop)2-03.jpg,"2. Within this illustration depicting the examination of welds on a steel pipe, one can observe the presence of defects like air-holes. Air-holes are minuscule apertures that can be found either on the surface or inside the steel tube, typically generated by the entrapment of gas during production. These imperfections may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(crop)2-04.jpg,"3. The inspection image of this steel pipe weld displays flaws, most notably air-holes. Air-holes are small openings that can be located either externally or internally on the steel tube, commonly formed as a result of gas getting trapped during the production process. These flaws have the potential to weaken the material.","steel pipe, air hole",399
